id_estudiante,tipo_iden_est,edad,grupo_edad,genero,estrato,estrato_num,grupo_estrato,origen_geografico,departamento,lugar_expedicion
1,C.C.,65,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
2,C.C.,47,31+,F,SIN INFORMACIÓN,,,DUITAMA,DUITAMA,DUITAMA
3,C.C.,46,31+,F,SIN INFORMACIÓN,,,SOATÁ,SOATÁ,SOATÁ
4,C.C.,27,26-30,M,SIN INFORMACIÓN,,,SOCHA,SOCHA,SOCHA
5,C.C.,35,31+,F,SIN INFORMACIÓN,,,CÚCUTA,CÚCUTA,CÚCUTA
6,C.C.,31,31+,F,SIN INFORMACIÓN,,,BERBEO,BERBEO,TUNJA
7,C.C.,32,31+,M,SIN INFORMACIÓN,,,BARBOSA,BARBOSA,BUCARAMANGA
8,C.C.,44,31+,F,SIN INFORMACIÓN,,,QUETAME,QUETAME,QUETAME
9,C.C.,37,31+,M,SIN INFORMACIÓN,,,MONGUA,MONGUA,SOGAMOSO
10,C.C.,29,26-30,M,SIN INFORMACIÓN,,,OROCUÉ,OROCUÉ,SOGAMOSO
11,C.C.,33,31+,M,SIN INFORMACIÓN,,,SOGAMOSO,SOGAMOSO,SOGAMOSO
12,C.C.,40,31+,M,SIN INFORMACIÓN,,,BUCARAMANGA,BUCARAMANGA,BUCARAMANGA
13,C.C.,39,31+,M,SIN INFORMACIÓN,,,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
14,C.C.,33,31+,M,SIN INFORMACIÓN,,,PUENTE NACIONAL,PUENTE,BARBOSA
15,C.C.,35,31+,M,SIN INFORMACIÓN,,,PÁEZ,PÁEZ,TUNJA
16,C.C.,32,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
17,C.C.,32,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,NUEVO COLÓN
18,C.C.,31,31+,M,SIN INFORMACIÓN,,,DUITAMA,DUITAMA,DUITAMA
19,C.C.,36,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
20,C.C.,31,31+,M,SIN INFORMACIÓN,,,SANTA ROSA DE VITERBO,SANTA,DUITAMA
21,C.C.,42,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
22,C.C.,23,21-25,F,SIN INFORMACIÓN,,,PAIPA,PAIPA,PAIPA
23,C.C.,21,21-25,F,SIN INFORMACIÓN,,,PAIPA,PAIPA,PAIPA
24,C.C.,19,16-20,M,SIN INFORMACIÓN,,,CALDAS,CALDAS,CALDAS
25,C.C.,20,16-20,M,SIN INFORMACIÓN,,,CALDAS,CALDAS,CALDAS
26,C.C.,35,31+,F,SIN INFORMACIÓN,,,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
27,C.C.,33,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
28,C.C.,59,31+,M,SIN INFORMACIÓN,,,CHIQUINQUIRÁ,CHIQUINQUIRÁ,CHIQUINQUIRÁ
29,C.C.,39,31+,M,SIN INFORMACIÓN,,,BOGOTA D.E,BOGOTA,TUNJA
30,C.C.,28,26-30,M,SIN INFORMACIÓN,,,NEIVA,NEIVA,VILLA DE LEYVA
31,C.C.,36,31+,M,SIN INFORMACIÓN,,,DUITAMA,DUITAMA,DUITAMA
32,C.C.,41,31+,F,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
33,C.C.,31,31+,M,SIN INFORMACIÓN,,,AGUAZUL,AGUAZUL,DUITAMA
34,C.C.,30,26-30,M,SIN INFORMACIÓN,,,BOGOTA D.E,BOGOTA,BOGOTÁ D.C.
35,C.C.,30,26-30,M,SIN INFORMACIÓN,,,BOGOTÁ D.C.,BOGOTÁ,TUNJA
36,C.C.,32,31+,F,SIN INFORMACIÓN,,,SAN ANDRÉS,SAN,SAN ANDRÉS
37,C.C.,38,31+,M,SIN INFORMACIÓN,,,QUIBDÓ,QUIBDÓ,QUIBDÓ
38,C.C.,52,31+,F,SIN INFORMACIÓN,,,MONTERREY,MONTERREY,MONTERREY
39,C.C.,31,31+,F,SIN INFORMACIÓN,,,AGUAZUL,AGUAZUL,AGUAZUL
40,C.C.,32,31+,M,SIN INFORMACIÓN,,,VALLEDUPAR,VALLEDUPAR,VALLEDUPAR
41,C.C.,47,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
42,C.C.,33,31+,M,SIN INFORMACIÓN,,,ARAUCA,ARAUCA,YOPAL
43,C.C.,39,31+,M,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
44,C.C.,41,31+,M,SIN INFORMACIÓN,,,DUITAMA,DUITAMA,DUITAMA
45,C.C.,46,31+,F,SIN INFORMACIÓN,,,TUNJA,TUNJA,TUNJA
46,C.C.,25,21-25,F,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
47,C.C.,26,26-30,M,2,2.0,BAJO,PAIPA,PAIPA,PAIPA
48,C.C.,26,26-30,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
49,C.C.,28,26-30,M,1,1.0,BAJO,ARCABUCO,ARCABUCO,ARCABUCO
50,C.C.,26,26-30,M,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,MONGUÍ
51,C.C.,23,21-25,M,1,1.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,FACATATIVÁ
52,T.I.,20,16-20,M,3,3.0,MEDIO,VILLAVICENCIO,VILLAVICENCIO,VILLAVICENCIO
53,C.C.,22,21-25,F,3,3.0,MEDIO,BOGOTÁ D.C.,BOGOTÁ,BOGOTA D.E
54,C.C.,23,21-25,F,4,4.0,MEDIO,TUNJA,TUNJA,TUNJA
55,C.C.,22,21-25,M,2,2.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
56,C.C.,24,21-25,M,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
57,C.C.,22,21-25,M,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
58,T.I.,23,21-25,F,1,1.0,BAJO,BOGOTÁ D.C.,BOGOTÁ,BOGOTÁ D.C.
59,C.C.,29,26-30,M,1,1.0,BAJO,BOGOTA D.E,BOGOTA,SIACHOQUE
60,T.I.,22,21-25,M,1,1.0,BAJO,CHIPATÁ,CHIPATÁ,VÉLEZ
61,T.I.,21,21-25,M,1,1.0,BAJO,TAURAMENA,TAURAMENA,TAURAMENA
62,C.C.,24,21-25,F,2,2.0,BAJO,CHIQUINQUIRÁ,CHIQUINQUIRÁ,CHIQUINQUIRÁ
