id_institucion,nombre_institucion,tipo_institucion,nombre_sede,ciudad,departamento
1,UPTC,UNIVERSIDAD,TUNJA,TUNJA,BOYACÁ
2,UPTC,UNIVERSIDAD,DUITAMA,DUITAMA,BOYACÁ
3,UPTC,UNIVERSIDAD,SOGAMOSO,SOGAMOSO,BOYACÁ
4,UPTC,UNIVERSIDAD,CHIQUINQUIRA,CHIQUINQUIRA,BOYACÁ
5,UPTC,UNIVERSIDAD,SOATA,SOATA,BOYACÁ
6,UPTC,UNIVERSIDAD,YOPAL,YOPAL,BOYACÁ
7,UPTC,UNIVERSIDAD,COGUA,COGUA,BOYACÁ
8,UPTC,UNIVERSIDAD,QUETAME,QUETAME,BOYACÁ
9,UPTC,UNIVERSIDAD,LETICIA,LETICIA,BOYACÁ
10,UPTC,UNIVERSIDAD,AGUAZUL,AGUAZUL,BOYACÁ
11,UPTC,UNIVERSIDAD,CHISCAS,CHISCAS,BOYACÁ
12,UPTC,UNIVERSIDAD,SANTA FE DE BOGOTA,SANTA FE DE BOGOTA,BOYACÁ
13,UPTC,UNIVERSIDAD,RIONEGRO,RIONEGRO,BOYACÁ
14,UPTC,UNIVERSIDAD,RONDON,RONDON,BOYACÁ
15,UPTC,UNIVERSIDAD,GARAGOA,GARAGOA,BOYACÁ
16,UPTC,UNIVERSIDAD,BARRANCABERMEJA,BARRANCABERMEJA,BOYACÁ
17,UPTC,UNIVERSIDAD,MONTERREY,MONTERREY,BOYACÁ
18,UPTC,UNIVERSIDAD,CERES MIRAFLORES,CERES MIRAFLORES,BOYACÁ
19,UPTC,UNIVERSIDAD,PUERTO BOYACA,PUERTO BOYACA,BOYACÁ
20,SENA,CENTRO_FORMACION,CENTRO DE COMERCIO Y SERVICIOS,REGIONAL BOLIVAR,REGIONAL BOLIVAR
21,SENA,CENTRO_FORMACION,CENTRO AGROPECUARIO,REGIONAL CAUCA,REGIONAL CAUCA
22,SENA,CENTRO_FORMACION,CENTRO DE BIOTECNOLOGIA INDUSTRIAL,REGIONAL VALLE,REGIONAL VALLE
