id_programa,nombre_programa,nivel_academico,nombre_facultad,modalidad,jornada
1,BIOLOGIA,PREGRADO,CIENCIAS,PRESENCIAL,DIURNA
2,FISICA,PREGRADO,CIENCIAS,PRESENCIAL,DIURNA
3,MATEMATICAS,PREGRADO,CIENCIAS,PRESENCIAL,DIURNA
4,QUIMICA,PREGRADO,CIENCIAS,PRESENCIAL,DIURNA
5,INGENIERIA AGRONOMICA,PREGRADO,CIENCIAS AGROPECUARIAS,PRESENCIAL,DIURNA
6,MEDICINA VETERINARIA Y ZOOTECNIA,PREGRADO,CIENCIAS AGROPECUARIAS,PRESENCIAL,DIURNA
7,ARTES PLÁSTICAS Y VISUALES,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,EXTENDIDA
8,LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
9,LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
10,LICENCIATURA EN CIENCIAS SOCIALES,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
11,"LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS, HUMANIDADES Y LENGUA CASTELLANA",PREGRADO,CIENCIAS DE LA EDUCACION,DISTANCIA,OTRA
12,LICENCIATURA EN EDUCACION BASICA PRIMARIA,PREGRADO,CIENCIAS DE LA EDUCACION,DISTANCIA,EXTENDIDA
13,LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
14,LICENCIATURA EN EDUCACIÓN INFANTIL,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,EXTENDIDA
15,LICENCIATURA EN EDUCACION PREESCOLAR,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
16,LICENCIATURA EN FILOSOFIA,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,EXTENDIDA
17,LICENCIATURA EN IDIOMAS MODERNOS ESPAÑOL-INGLÉS,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
18,LICENCIATURA EN INFORMÁTICA,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
19,LICENCIATURA EN INFORMATICA Y TECNOLOGIA,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,NOCTURNA
20,LICENCIATURA EN LENGUAS EXTRANJERAS,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
21,LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS EN INGLES Y EN FRANCES,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,EXTENDIDA
22,LICENCIATURA EN MATEMATICAS,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,NOCTURNA
23,LICENCIATURA EN MUSICA,PREGRADO,CIENCIAS DE LA EDUCACION,PRESENCIAL,DIURNA
24,MEDICINA,PREGRADO,CIENCIAS DE LA SALUD,PRESENCIAL,DIURNA
25,PSICOLOGIA,PREGRADO,CIENCIAS DE LA SALUD,PRESENCIAL,DIURNA
26,ADMINISTRACION DE EMPRESAS,PREGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,DIURNA
27,CONTADURIA PUBLICA,PREGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,NOCTURNA
28,ECONOMIA,PREGRADO,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,PRESENCIAL,NOCTURNA
29,DERECHO,PREGRADO,DERECHO Y CIENCIAS  SOCIALES,PRESENCIAL,EXTENDIDA
30,ADMINISTRACION COMERCIAL Y FINANCIERA,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
31,ADMINISTRACION DE SERVICIOS DE SALUD,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
32,TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
33,TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
34,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
35,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,PREGRADO,ESTUDIOS A DISTANCIA,DISTANCIA,OTRA
36,TECNOLOGIA DE  PROGRAMACION DE SISTEMAS INFORMATICOS,PREGRADO,ESTUDIOS A DISTANCIA,DISTANCIA,OTRA
37,TECNOLOGIA EN ELECTRICIDAD,PREGRADO,ESTUDIOS A DISTANCIA,DISTANCIA,OTRA
38,TECNOLOGIA EN GESTION ADMINISTRATIVA DE SERVICIOS DE SALUD,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
39,TECNOLOGIA EN GESTION COMERCIAL Y FINANCIERA,PREGRADO,ESTUDIOS A DISTANCIA,VIRTUAL,OTRA
40,TECNOLOGIA EN MAQUINAS Y HERRAMIENTAS,PREGRADO,ESTUDIOS A DISTANCIA,DISTANCIA,OTRA
41,TECNOLOGIA EN OBRAS CIVILES,PREGRADO,ESTUDIOS A DISTANCIA,DISTANCIA,OTRA
42,TECNOLOGIA EN REGENCIA DE FARMACIA,PREGRADO,ESTUDIOS A DISTANCIA,DISTANCIA,OTRA
43,ARQUITECTURA,PREGRADO,INGENIERIA,PRESENCIAL,EXTENDIDA
44,INGENIERIA AMBIENTAL,PREGRADO,INGENIERIA,PRESENCIAL,DIURNA
45,INGENIERIA CIVIL,PREGRADO,INGENIERIA,PRESENCIAL,DIURNA
46,INGENIERIA DE SISTEMAS Y COMPUTACION,PREGRADO,INGENIERIA,PRESENCIAL,DIURNA
47,INGENIERIA DE TRANSPORTE Y VIAS,PREGRADO,INGENIERIA,PRESENCIAL,DIURNA
48,INGENIERIA METALURGICA,PREGRADO,INGENIERIA,PRESENCIAL,DIURNA
49,TECNICO PROFESIONAL EN PRODUCCION Y TRANSFORMACION DEL ACERO,PREGRADO,INGENIERIA,PRESENCIAL,OTRA
50,ADMINISTRACION DE EMPRESAS,PREGRADO,SECCIONAL CHIQUINQUIRA,PRESENCIAL,NOCTURNA
51,CONTADURIA PUBLICA,PREGRADO,SECCIONAL CHIQUINQUIRA,PRESENCIAL,NOCTURNA
52,ADMINISTRACION DE EMPRESAS AGROPECUARIAS,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA
53,ADMINISTRACION INDUSTRIAL,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA
54,ADMINISTRACION TURISTICA Y HOTELERA,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA
55,DISEÑO INDUSTRIAL,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA
56,INGENIERIA ELECTROMECANICA,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA
57,LICENCIATURA EN MATEMATICAS,PREGRADO,SECCIONAL DUITAMA,PRESENCIAL,DIURNA
