id_tiempo,periodo,periodo_año,periodo_semestre,periodo_completo
1,PRIMER SEMESTRE 2020,2020.0,1,2020.0-S1
2,SEGUNDO SEMESTRE 2020,2020.0,2,2020.0-S2
12,SEGUNDO SEMESTRE DE 2020,2020.0,2,2020.0-S2
4,PRIMER SEMESTRE 2021,2021.0,1,2021.0-S1
13,PRIMER  SEMESTRE DE 2021,2021.0,1,2021.0-S1
5,SEGUNDO SEMESTRE 2021,2021.0,2,2021.0-S2
14,SEGUNDO SEMESTRE DE 2021,2021.0,2,2021.0-S2
6,PRIMER SEMESTRE 2022,2022.0,1,2022.0-S1
15,PRIMER SEMESTRE DE 2022,2022.0,1,2022.0-S1
7,SEGUNDO SEMESTRE 2022,2022.0,2,2022.0-S2
16,SEGUNDO SEMESTRE DE 2022,2022.0,2,2022.0-S2
8,PRIMER SEMESTRE 2023,2023.0,1,2023.0-S1
17,PRIMER SEMESTRE DE 2023,2023.0,1,2023.0-S1
3,SEGUNDO SEMESTRE 2023,2023.0,2,2023.0-S2
18,SEGUNDO SEMESTRE DE 2023,2023.0,2,2023.0-S2
9,PRIMER SEMESTRE 2024,2024.0,1,2024.0-S1
19,PRIMER SEMESTRE DE 2024,2024.0,1,2024.0-S1
10,SEGUNDO SEMESTRE 2024,2024.0,2,2024.0-S2
20,SEGUNDO SEMESTRE DE 2024,2024.0,2,2024.0-S2
11,PRIMER SEMESTRE 2025,2025.0,1,2025.0-S1
21,PRIMER SEMESTRE DE 2025,2025.0,1,2025.0-S1
22,"202,402",,2,nan-S2
