id_hecho,id_tiempo,id_estudiante,es_desertor,tipo_desercion,cantidad_desertores,score_riesgo,nivel_riesgo
1,1,1,1,ACADEMICA,1,30,MEDIO
2,1,2,1,ACADEMICA,1,25,BAJO
3,1,3,1,ACADEMICA,1,25,BAJO
4,1,4,1,ACADEMICA,1,20,BAJO
5,1,5,1,ACADEMICA,1,25,BAJO
6,1,6,1,ACADEMICA,1,25,BAJO
7,1,7,1,ACADEMICA,1,50,MEDIO
8,1,8,1,ACADEMICA,1,45,MEDIO
9,1,9,1,ACADEMICA,1,50,MEDIO
10,1,10,1,ACADEMICA,1,20,BAJO
11,1,11,1,ACADEMICA,1,30,MEDIO
12,1,12,1,ACADEMICA,1,30,MEDIO
13,1,13,1,ACADEMICA,1,30,MEDIO
14,1,14,1,ACADEMICA,1,30,MEDIO
15,1,15,1,ACADEMICA,1,30,MEDIO
16,1,16,1,ACADEMICA,1,30,MEDIO
17,1,17,1,ACADEMICA,1,30,MEDIO
18,1,18,1,ACADEMICA,1,30,MEDIO
19,1,19,1,ACADEMICA,1,30,MEDIO
20,1,20,1,ACADEMICA,1,30,MEDIO
21,1,21,1,ACADEMICA,1,30,MEDIO
22,1,22,1,ACADEMICA,1,25,BAJO
23,1,23,1,ACADEMICA,1,25,BAJO
24,1,24,1,ACADEMICA,1,30,MEDIO
25,1,25,1,ACADEMICA,1,30,MEDIO
26,12,26,1,ACADEMICA,1,25,BAJO
27,12,27,1,ACADEMICA,1,30,MEDIO
28,12,28,1,ACADEMICA,1,30,MEDIO
29,12,29,1,ACADEMICA,1,30,MEDIO
30,12,30,1,ACADEMICA,1,20,BAJO
31,12,31,1,ACADEMICA,1,30,MEDIO
32,12,32,1,ACADEMICA,1,25,BAJO
33,12,33,1,ACADEMICA,1,50,MEDIO
34,12,34,1,ACADEMICA,1,40,MEDIO
35,12,35,1,ACADEMICA,1,40,MEDIO
36,12,36,1,ACADEMICA,1,45,MEDIO
37,12,37,1,ACADEMICA,1,50,MEDIO
38,12,38,1,ACADEMICA,1,45,MEDIO
