periodo,nombre_facultad,nombre_programa,jornada,modalidad,nombre_sede,tipo_iden_est,fecha_nacimiento,genero,estrato,nombre_estado,origen_geografico,lugar_expedicion,edad,grupo_edad,periodo_año,periodo_semestre,estrato_num,grupo_estrato,institucion,tipo_desercion,es_desertor
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1958-09-23,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,TUNJA,TUNJA,65,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1976-03-20,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,47,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1977-10-22,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,SOATÁ,SOATÁ,46,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN HISTORIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1996-07-17,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SOCHA,SOCHA,27,26-30,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN LITERATURA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-11-08,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,CÚCUTA,CÚCUTA,35,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,MAESTRIA EN DERECHOS HUMANOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1992-10-28,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BERBEO,TUNJA,31,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1991-03-31,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BARBOSA,BUCARAMANGA,32,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1979-01-13,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,QUETAME,QUETAME,44,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1986-10-21,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,MONGUA,SOGAMOSO,37,31+,2020.0,1,,,UPTC,ACADEMICA,1
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN BASES DE DATOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1994-02-11,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,OROCUÉ,SOGAMOSO,29,26-30,2020.0,1,,,UPTC,ACADEMICA,1
