periodo,nombre_facultad,nombre_programa,nivel_académico,jornada,modalidad,no_estudiantes,periodo_año,periodo_semestre,institucion,tipo_desercion
PRIMER SEMESTRE 2020,CIENCIAS,BIOLOGIA,PREGRADO,DIURNA,PRESENCIAL,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS,FISICA,PREGRADO,DIURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS,MATEMATICAS,PREGRADO,DIURNA,PRESENCIAL,6,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS,QUIMICA,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,PREGRADO,DIURNA,PRESENCIAL,13,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,PREGRADO,DIURNA,PRESENCIAL,6,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,ARTES PLÁSTICAS Y VISUALES,PREGRADO,EXTENDIDA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA,PREGRADO,DIURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,PREGRADO,DIURNA,PRESENCIAL,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN CIENCIAS SOCIALES,PREGRADO,DIURNA,PRESENCIAL,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,"LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS, HUMANIDADES Y LENGUA CASTELLANA",PREGRADO,OTRA,DISTANCIA,19,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION BASICA PRIMARIA,PREGRADO,EXTENDIDA,DISTANCIA,11,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES,PREGRADO,DIURNA,PRESENCIAL,22,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACIÓN INFANTIL,PREGRADO,EXTENDIDA,PRESENCIAL,10,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION PREESCOLAR,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN FILOSOFIA,PREGRADO,EXTENDIDA,PRESENCIAL,10,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN IDIOMAS MODERNOS ESPAÑOL-INGLÉS,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN INFORMÁTICA,PREGRADO,DIURNA,PRESENCIAL,5,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN INFORMATICA Y TECNOLOGIA,PREGRADO,NOCTURNA,PRESENCIAL,3,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN LENGUAS EXTRANJERAS,PREGRADO,DIURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS EN INGLES Y EN FRANCES,PREGRADO,EXTENDIDA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN MATEMATICAS,PREGRADO,NOCTURNA,PRESENCIAL,17,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN MUSICA,PREGRADO,DIURNA,PRESENCIAL,6,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA SALUD,MEDICINA,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS DE LA SALUD,PSICOLOGIA,PREGRADO,DIURNA,PRESENCIAL,12,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,PREGRADO,NOCTURNA,PRESENCIAL,13,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,PREGRADO,NOCTURNA,PRESENCIAL,11,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ECONOMIA,PREGRADO,NOCTURNA,PRESENCIAL,9,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ECONOMIA,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,DERECHO,PREGRADO,EXTENDIDA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,DERECHO,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ADMINISTRACION COMERCIAL Y FINANCIERA,PREGRADO,OTRA,VIRTUAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ADMINISTRACION DE SERVICIOS DE SALUD,PREGRADO,OTRA,VIRTUAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS,PREGRADO,OTRA,VIRTUAL,24,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD,PREGRADO,OTRA,VIRTUAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,PREGRADO,OTRA,VIRTUAL,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,PREGRADO,OTRA,DISTANCIA,8,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA DE  PROGRAMACION DE SISTEMAS INFORMATICOS,PREGRADO,OTRA,DISTANCIA,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN ELECTRICIDAD,PREGRADO,OTRA,DISTANCIA,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN GESTION ADMINISTRATIVA DE SERVICIOS DE SALUD,PREGRADO,OTRA,VIRTUAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN GESTION COMERCIAL Y FINANCIERA,PREGRADO,OTRA,VIRTUAL,5,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN MAQUINAS Y HERRAMIENTAS,PREGRADO,OTRA,DISTANCIA,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN OBRAS CIVILES,PREGRADO,OTRA,DISTANCIA,32,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,TECNOLOGIA EN REGENCIA DE FARMACIA,PREGRADO,OTRA,DISTANCIA,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,ARQUITECTURA,PREGRADO,EXTENDIDA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA AMBIENTAL,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA CIVIL,PREGRADO,DIURNA,PRESENCIAL,5,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA DE SISTEMAS Y COMPUTACION,PREGRADO,DIURNA,PRESENCIAL,13,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA DE TRANSPORTE Y VIAS,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,INGENIERIA METALURGICA,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,TECNICO PROFESIONAL EN PRODUCCION Y TRANSFORMACION DEL ACERO,PREGRADO,OTRA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
